,time1,raised1,time2,raised2,shares,time3,raised3,shares2
24,2017-08-29 12:42:15.592853,"<span class=""_191t _50f5"">Mark has raised $56,032 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 15:53:40.271460,"<span class=""_191t _50f5"">Mark has raised $142,362 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","8,031 shares"
25,2017-08-29 12:44:00.552409,"<span class=""_191t _50f5"">Mark has raised $56,842 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 15:55:02.886935,"<span class=""_191t _50f5"">Mark has raised $142,732 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","8,044 shares"
26,2017-08-29 12:45:42.037812,"<span class=""_191t _50f5"">Mark has raised $57,865 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 15:56:39.213645,"<span class=""_191t _50f5"">Mark has raised $143,083 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","8,061 shares"
27,2017-08-29 12:47:13.644041,"<span class=""_191t _50f5"">Mark has raised $58,218 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 15:58:25.322611,"<span class=""_191t _50f5"">Mark has raised $144,333 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","8,078 shares"
28,2017-08-29 12:49:04.154417,"<span class=""_191t _50f5"">Mark has raised $58,783 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 16:00:03.996070,"<span class=""_191t _50f5"">Mark has raised $144,603 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","8,096 shares"
29,2017-08-29 12:50:44.611318,"<span class=""_191t _50f5"">Mark has raised $59,508 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 16:01:32.328315,"<span class=""_191t _50f5"">Mark has raised $144,733 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","8,110 shares"
30,2017-08-29 12:52:16.377836,"<span class=""_191t _50f5"">Mark has raised $60,153 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 16:03:01.707975,"<span class=""_191t _50f5"">Mark has raised $145,073 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","8,127 shares"
31,2017-08-29 12:53:53.159569,"<span class=""_191t _50f5"">Mark has raised $60,283 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 16:04:39.599217,"<span class=""_191t _50f5"">Mark has raised $145,269 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","8,141 shares"
32,2017-08-29 12:55:11.727039,"<span class=""_191t _50f5"">Mark has raised $60,563 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 16:06:23.249762,"<span class=""_191t _50f5"">Mark has raised $145,489 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","8,152 shares"
33,2017-08-29 12:57:00.402544,"<span class=""_191t _50f5"">Mark has raised $61,343 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 16:07:49.431908,"<span class=""_191t _50f5"">Mark has raised $146,529 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","8,173 shares"
